 time            time            v(rfp)          v(lop)          voutdiff       
 2.55000000e-08  2.55000000e-08  8.49686047e-01  1.15000000e+00  5.20503870e-03 
 2.55100000e-08  2.55100000e-08  8.49679777e-01  1.13800000e+00  5.30597300e-03 
 2.55300000e-08  2.55300000e-08  8.49667237e-01  1.11400000e+00  5.51317520e-03 
 2.55700000e-08  2.55700000e-08  8.49642165e-01  1.06600000e+00  5.89829055e-03 
 2.56500000e-08  2.56500000e-08  8.49592047e-01  9.70000000e-01  5.04413421e-03 
 2.57500000e-08  2.57500000e-08  8.49529458e-01  8.50000000e-01  1.24723199e-03 
 2.58500000e-08  2.58500000e-08  8.49466944e-01  7.30000000e-01 -2.61069714e-03 
 2.59250000e-08  2.59250000e-08  8.49420113e-01  6.40000000e-01 -7.07017571e-03 
 2.60000000e-08  2.60000000e-08  8.49373334e-01  5.50000000e-01 -1.11956763e-02 
 2.60100000e-08  2.60100000e-08  8.49367101e-01  5.50000000e-01 -1.12829100e-02 
 2.60300000e-08  2.60300000e-08  8.49354637e-01  5.50000000e-01 -1.13844095e-02 
 2.60700000e-08  2.60700000e-08  8.49329723e-01  5.50000000e-01 -1.16475328e-02 
 2.61500000e-08  2.61500000e-08  8.49279946e-01  5.50000000e-01 -1.25374908e-02 
 2.62500000e-08  2.62500000e-08  8.49217828e-01  5.50000000e-01 -1.36490994e-02 
 2.63500000e-08  2.63500000e-08  8.49155833e-01  5.50000000e-01 -1.47764857e-02 
 2.64500000e-08  2.64500000e-08  8.49093971e-01  5.50000000e-01 -1.58869445e-02 
 2.65500000e-08  2.65500000e-08  8.49032253e-01  5.50000000e-01 -1.70052283e-02 
 2.66500000e-08  2.66500000e-08  8.48970687e-01  5.50000000e-01 -1.81138336e-02 
 2.67500000e-08  2.67500000e-08  8.48909284e-01  5.50000000e-01 -1.92241447e-02 
 2.68500000e-08  2.68500000e-08  8.48848053e-01  5.50000000e-01 -2.03284691e-02 
 2.69500000e-08  2.69500000e-08  8.48787004e-01  5.50000000e-01 -2.14314034e-02 
 2.70500000e-08  2.70500000e-08  8.48726146e-01  5.50000000e-01 -2.25298299e-02 
 2.71500000e-08  2.71500000e-08  8.48665490e-01  5.50000000e-01 -2.36253173e-02 
 2.72500000e-08  2.72500000e-08  8.48605044e-01  5.50000000e-01 -2.47167202e-02 
