 frequency       gain_db         phase_deg      
 3.75837404e+06  1.26266358e+00  1.79984989e+02 
 3.86812055e+06  1.26266356e+00  1.79984551e+02 
 3.98107171e+06  1.26266355e+00  1.79984100e+02 
 4.09732110e+06  1.26266353e+00  1.79983635e+02 
 4.21696503e+06  1.26266352e+00  1.79983157e+02 
 4.34010264e+06  1.26266350e+00  1.79982666e+02 
 4.46683592e+06  1.26266348e+00  1.79982159e+02 
 4.59726989e+06  1.26266346e+00  1.79981638e+02 
 4.73151259e+06  1.26266344e+00  1.79981102e+02 
 4.86967525e+06  1.26266341e+00  1.79980550e+02 
 5.01187234e+06  1.26266339e+00  1.79979982e+02 
 5.15822165e+06  1.26266336e+00  1.79979398e+02 
 5.30884444e+06  1.26266333e+00  1.79978796e+02 
 5.46386550e+06  1.26266331e+00  1.79978177e+02 
 5.62341325e+06  1.26266327e+00  1.79977540e+02 
 5.78761988e+06  1.26266324e+00  1.79976884e+02 
 5.95662144e+06  1.26266321e+00  1.79976209e+02 
 6.13055792e+06  1.26266317e+00  1.79975514e+02 
 6.30957344e+06  1.26266313e+00  1.79974799e+02 
 6.49381632e+06  1.26266309e+00  1.79974064e+02 
 6.68343918e+06  1.26266305e+00  1.79973306e+02 
 6.87859912e+06  1.26266300e+00  1.79972527e+02 
 7.07945784e+06  1.26266295e+00  1.79971724e+02 
 7.28618175e+06  1.26266290e+00  1.79970899e+02 
 7.49894209e+06  1.26266285e+00  1.79970049e+02 
 7.71791516e+06  1.26266279e+00  1.79969174e+02 
 7.94328235e+06  1.26266273e+00  1.79968274e+02 
 8.17523038e+06  1.26266266e+00  1.79967348e+02 
 8.41395142e+06  1.26266259e+00  1.79966394e+02 
 8.65964323e+06  1.26266252e+00  1.79965413e+02 
 8.91250938e+06  1.26266244e+00  1.79964403e+02 
 9.17275935e+06  1.26266236e+00  1.79963364e+02 
 9.44060876e+06  1.26266228e+00  1.79962294e+02 
 9.71627952e+06  1.26266218e+00  1.79961193e+02 
