 frequency       frequency       frequency       cgate           cgate          
 2.98538262e+08  2.98538262e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.16227766e+08  3.16227766e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.34965439e+08  3.34965439e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.54813389e+08  3.54813389e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.75837404e+08  3.75837404e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.98107171e+08  3.98107171e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.21696503e+08  4.21696503e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.46683592e+08  4.46683592e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.73151259e+08  4.73151259e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+08  5.01187234e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+08  5.30884444e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+08  5.62341325e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+08  5.95662144e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+08  6.30957344e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+08  6.68343918e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+08  7.07945784e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+08  7.49894209e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+08  7.94328235e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+08  8.41395142e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+08  8.91250938e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+08  9.44060876e+08  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+09  1.00000000e+09  0.00000000e+00  9.01655884e-14  0.00000000e+00 
