 time            time            v(n1)           v(n2)           v(n3)           i(vdd)         
 1.62280000e-10  1.62280000e-10  5.42858327e-02  1.50058580e+00  1.30563387e+00 -2.00223760e-03 
 1.63280000e-10  1.63280000e-10  5.13802696e-02  1.52046934e+00  1.23471452e+00 -1.99567876e-03 
 1.64280000e-10  1.64280000e-10  4.85209776e-02  1.53862617e+00  1.16148335e+00 -2.00770664e-03 
 1.65280000e-10  1.65280000e-10  4.57114232e-02  1.55506600e+00  1.08640829e+00 -2.03533043e-03 
 1.66280000e-10  1.66280000e-10  4.28886082e-02  1.56945843e+00  1.01077386e+00 -2.07158437e-03 
 1.67280000e-10  1.67280000e-10  4.00752242e-02  1.58186443e+00  9.36024157e-01 -2.10931687e-03 
 1.68280000e-10  1.68280000e-10  3.73849925e-02  1.59282813e+00  8.63081783e-01 -2.15164786e-03 
 1.69280000e-10  1.69280000e-10  3.48867028e-02  1.60275037e+00  7.92738436e-01 -2.19351969e-03 
 1.70280000e-10  1.70280000e-10  3.26188103e-02  1.61193297e+00  7.25634348e-01 -2.23690527e-03 
 1.71280000e-10  1.71280000e-10  3.05980596e-02  1.62060025e+00  6.62259418e-01 -2.27601346e-03 
 1.72280000e-10  1.72280000e-10  2.88260525e-02  1.62891480e+00  6.02961757e-01 -2.31234083e-03 
 1.73280000e-10  1.73280000e-10  2.72947699e-02  1.63698987e+00  5.47959631e-01 -2.33955300e-03 
 1.74280000e-10  1.74280000e-10  2.59944810e-02  1.64489409e+00  4.97309754e-01 -2.35610536e-03 
 1.75280000e-10  1.75280000e-10  2.49204179e-02  1.65243228e+00  4.49338283e-01 -2.35923536e-03 
 1.76280000e-10  1.76280000e-10  2.40353418e-02  1.65959901e+00  4.03827187e-01 -2.36991659e-03 
 1.77280000e-10  1.77280000e-10  2.32908584e-02  1.66668645e+00  3.62630792e-01 -2.37196942e-03 
 1.78280000e-10  1.78280000e-10  2.26609772e-02  1.67368773e+00  3.25564438e-01 -2.37132867e-03 
 1.79280000e-10  1.79280000e-10  2.21104098e-02  1.68057808e+00  2.92363500e-01 -2.37222852e-03 
 1.80280000e-10  1.80280000e-10  2.16087947e-02  1.68732847e+00  2.62733024e-01 -2.37291160e-03 
 1.81280000e-10  1.81280000e-10  2.11413299e-02  1.69391539e+00  2.36392455e-01 -2.36884390e-03 
 1.82280000e-10  1.82280000e-10  2.06965226e-02  1.70031557e+00  2.13055759e-01 -2.36558326e-03 
 1.83280000e-10  1.83280000e-10  2.02661042e-02  1.70650763e+00  1.92440138e-01 -2.35858378e-03 
