 frequency       frequency       frequency       vdb(out)        vp(out)        
 2.30409298e+03  2.30409298e+03  0.00000000e+00  8.92381955e+01  1.59053154e+00 
 2.37137371e+03  2.37137371e+03  0.00000000e+00  8.89882901e+01  1.58997175e+00 
 2.44061907e+03  2.44061907e+03  0.00000000e+00  8.87383795e+01  1.58942783e+00 
 2.51188643e+03  2.51188643e+03  0.00000000e+00  8.84884638e+01  1.58889933e+00 
 2.58523484e+03  2.58523484e+03  0.00000000e+00  8.82385434e+01  1.58838582e+00 
 2.66072506e+03  2.66072506e+03  0.00000000e+00  8.79886186e+01  1.58788687e+00 
 2.73841963e+03  2.73841963e+03  0.00000000e+00  8.77386895e+01  1.58740206e+00 
 2.81838293e+03  2.81838293e+03  0.00000000e+00  8.74887565e+01  1.58693101e+00 
 2.90068120e+03  2.90068120e+03  0.00000000e+00  8.72388197e+01  1.58647331e+00 
 2.98538262e+03  2.98538262e+03  0.00000000e+00  8.69888794e+01  1.58602859e+00 
 3.07255737e+03  3.07255737e+03  0.00000000e+00  8.67389358e+01  1.58559648e+00 
 3.16227766e+03  3.16227766e+03  0.00000000e+00  8.64889890e+01  1.58517663e+00 
 3.25461783e+03  3.25461783e+03  0.00000000e+00  8.62390392e+01  1.58476868e+00 
 3.34965439e+03  3.34965439e+03  0.00000000e+00  8.59890867e+01  1.58437231e+00 
 3.44746607e+03  3.44746607e+03  0.00000000e+00  8.57391314e+01  1.58398717e+00 
 3.54813389e+03  3.54813389e+03  0.00000000e+00  8.54891737e+01  1.58361296e+00 
 3.65174127e+03  3.65174127e+03  0.00000000e+00  8.52392136e+01  1.58324936e+00 
 3.75837404e+03  3.75837404e+03  0.00000000e+00  8.49892513e+01  1.58289608e+00 
 3.86812055e+03  3.86812055e+03  0.00000000e+00  8.47392869e+01  1.58255282e+00 
 3.98107171e+03  3.98107171e+03  0.00000000e+00  8.44893204e+01  1.58221929e+00 
 4.09732110e+03  4.09732110e+03  0.00000000e+00  8.42393521e+01  1.58189522e+00 
 4.21696503e+03  4.21696503e+03  0.00000000e+00  8.39893821e+01  1.58158035e+00 
 4.34010264e+03  4.34010264e+03  0.00000000e+00  8.37394103e+01  1.58127440e+00 
 4.46683592e+03  4.46683592e+03  0.00000000e+00  8.34894370e+01  1.58097714e+00 
 4.59726989e+03  4.59726989e+03  0.00000000e+00  8.32394622e+01  1.58068830e+00 
 4.73151259e+03  4.73151259e+03  0.00000000e+00  8.29894859e+01  1.58040767e+00 
 4.86967525e+03  4.86967525e+03  0.00000000e+00  8.27395084e+01  1.58013499e+00 
 5.01187234e+03  5.01187234e+03  0.00000000e+00  8.24895296e+01  1.57987004e+00 
 5.15822165e+03  5.15822165e+03  0.00000000e+00  8.22395496e+01  1.57961261e+00 
 5.30884444e+03  5.30884444e+03  0.00000000e+00  8.19895684e+01  1.57936249e+00 
 5.46386550e+03  5.46386550e+03  0.00000000e+00  8.17395863e+01  1.57911946e+00 
