 time            time            v(n1)           v(n2)           v(n3)           v(n4)           v(n5)          
 1.15857983e-10  1.15857983e-10  1.25882960e+00  2.52040017e+00  2.01425818e-02  2.44384254e+00  2.34462671e-01 
 1.16857983e-10  1.16857983e-10  1.30255412e+00  2.51344706e+00  1.87783972e-02  2.44623657e+00  2.25613923e-01 
 1.17857983e-10  1.17857983e-10  1.34543089e+00  2.50534403e+00  1.74060682e-02  2.44852870e+00  2.17237005e-01 
 1.18857983e-10  1.18857983e-10  1.38739693e+00  2.49604287e+00  1.60230408e-02  2.45072152e+00  2.09290748e-01 
 1.19857983e-10  1.19857983e-10  1.42839765e+00  2.48549648e+00  1.46268803e-02  2.45281774e+00  2.01738023e-01 
 1.20857983e-10  1.20857983e-10  1.46838679e+00  2.47365858e+00  1.32152275e-02  2.45482018e+00  1.94545398e-01 
 1.21857983e-10  1.21857983e-10  1.50732626e+00  2.46048231e+00  1.17856777e-02  2.45673174e+00  1.87682831e-01 
 1.22857983e-10  1.22857983e-10  1.54518619e+00  2.44591878e+00  1.03356722e-02  2.45855535e+00  1.81123414e-01 
 1.23857983e-10  1.23857983e-10  1.58194517e+00  2.42991547e+00  8.86237360e-03  2.46029394e+00  1.74843167e-01 
 1.24857983e-10  1.24857983e-10  1.61759101e+00  2.41241373e+00  7.36249159e-03  2.46195042e+00  1.68820907e-01 
 1.25857983e-10  1.25857983e-10  1.65212234e+00  2.39334488e+00  5.83201895e-03  2.46352765e+00  1.63038222e-01 
 1.26857983e-10  1.26857983e-10  1.68555203e+00  2.37262372e+00  4.26579437e-03  2.46502838e+00  1.57479643e-01 
 1.27857983e-10  1.27857983e-10  1.71792272e+00  2.35021474e+00  2.66215952e-03  2.46645595e+00  1.52134131e-01 
 1.28857983e-10  1.28857983e-10  1.74931782e+00  2.32607034e+00  1.01843951e-03  2.46781371e+00  1.46996008e-01 
 1.29857983e-10  1.29857983e-10  1.77989565e+00  2.29998151e+00 -6.79411387e-04  2.46910415e+00  1.42068265e-01 
 1.30857983e-10  1.30857983e-10  1.81004220e+00  2.27146847e+00 -2.46373747e-03  2.47032918e+00  1.37378455e-01 
 1.31857983e-10  1.31857983e-10  1.84013740e+00  2.24009057e+00 -4.36297425e-03  2.47149101e+00  1.32953337e-01 
 1.32857983e-10  1.32857983e-10  1.86966506e+00  2.20643951e+00 -6.33346003e-03  2.47259356e+00  1.28723834e-01 
 1.33857983e-10  1.33857983e-10  1.89800241e+00  2.17127147e+00 -8.32285089e-03  2.47364088e+00  1.24612172e-01 
 1.34857983e-10  1.34857983e-10  1.92517531e+00  2.13467265e+00 -1.03279646e-02  2.47463602e+00  1.20613097e-01 
 1.35857983e-10  1.35857983e-10  1.95121133e+00  2.09672863e+00 -1.23461051e-02  2.47558182e+00  1.16721535e-01 
 1.36857983e-10  1.36857983e-10  1.97613873e+00  2.05750060e+00 -1.43754080e-02  2.47648090e+00  1.12932994e-01 
 1.37857983e-10  1.37857983e-10  1.99999579e+00  2.01699411e+00 -1.64101362e-02  2.47733599e+00  1.09237718e-01 
 1.38857983e-10  1.38857983e-10  2.02281041e+00  1.97523139e+00 -1.84051698e-02  2.47815448e+00  1.05633414e-01 
 1.39857983e-10  1.39857983e-10  2.04460276e+00  1.93228370e+00 -2.02912530e-02  2.47894633e+00  1.02124155e-01 
 1.40857983e-10  1.40857983e-10  2.06540607e+00  1.88822003e+00 -2.20089892e-02  2.47971954e+00  9.87076154e-02 
 1.41857983e-10  1.41857983e-10  2.08525968e+00  1.84310822e+00 -2.34813331e-02  2.48048385e+00  9.53869745e-02 
 1.42857983e-10  1.42857983e-10  2.10421153e+00  1.79700639e+00 -2.46449109e-02  2.48124676e+00  9.21612737e-02 
 1.43857983e-10  1.43857983e-10  2.12230122e+00  1.74996447e+00 -2.54499665e-02  2.48201352e+00  8.90242663e-02 
 1.44857983e-10  1.44857983e-10  2.13954635e+00  1.70204527e+00 -2.58280844e-02  2.48279125e+00  8.59727643e-02 
 1.45857983e-10  1.45857983e-10  2.15589605e+00  1.65343416e+00 -2.57006154e-02  2.48358737e+00  8.29961479e-02 
 1.46857983e-10  1.46857983e-10  2.17132930e+00  1.60436492e+00 -2.49855003e-02  2.48440948e+00  8.00877530e-02 
 1.47857983e-10  1.47857983e-10  2.18590984e+00  1.55500773e+00 -2.36057937e-02  2.48526485e+00  7.72508398e-02 
 1.48857983e-10  1.48857983e-10  2.19969615e+00  1.50552750e+00 -2.14856301e-02  2.48616017e+00  7.44879595e-02 
 1.49857983e-10  1.49857983e-10  2.21274231e+00  1.45608225e+00 -1.85507023e-02  2.48710156e+00  7.18010673e-02 
 1.50857983e-10  1.50857983e-10  2.22509853e+00  1.40682211e+00 -1.47286314e-02  2.48809458e+00  6.91915961e-02 
 1.51857983e-10  1.51857983e-10  2.23681144e+00  1.35788846e+00 -9.94924355e-03  2.48914423e+00  6.66605170e-02 
 1.52857983e-10  1.52857983e-10  2.24792438e+00  1.30941329e+00 -4.14474809e-03  2.49025501e+00  6.42083895e-02 
 1.53857983e-10  1.53857983e-10  2.25847766e+00  1.26151867e+00  2.75014435e-03  2.49143095e+00  6.18354051e-02 
 1.54857983e-10  1.54857983e-10  2.26850872e+00  1.21431644e+00  1.07977273e-02  2.49267558e+00  5.95414234e-02 
 1.55857983e-10  1.55857983e-10  2.27805228e+00  1.16790792e+00  2.00571001e-02  2.49399202e+00  5.73260054e-02 
 1.56857983e-10  1.56857983e-10  2.28714053e+00  1.12238390e+00  3.05846230e-02  2.49538301e+00  5.51884511e-02 
 1.57857983e-10  1.57857983e-10  2.29581650e+00  1.07778353e+00  4.23948205e-02  2.49684653e+00  5.31281851e-02 
 1.58857983e-10  1.58857983e-10  2.30410541e+00  1.03418147e+00  5.55385027e-02  2.49838500e+00  5.11438844e-02 
 1.59857983e-10  1.59857983e-10  2.31201742e+00  9.91683185e-01  7.01036642e-02  2.50000516e+00  4.92337409e-02 
 1.60857983e-10  1.60857983e-10  2.31957653e+00  9.50338247e-01  8.61381979e-02  2.50170908e+00  4.73963811e-02 
 1.61857983e-10  1.61857983e-10  2.32680474e+00  9.10186166e-01  1.03689949e-01  2.50349893e+00  4.56303035e-02 
 1.62857983e-10  1.62857983e-10  2.33372219e+00  8.71256422e-01  1.22807997e-01  2.50537720e+00  4.39339068e-02 
 1.63857983e-10  1.63857983e-10  2.34034717e+00  8.33567992e-01  1.43544615e-01  2.50734694e+00  4.23055217e-02 
 1.64857983e-10  1.64857983e-10  2.34669607e+00  7.97126591e-01  1.65937495e-01  2.50940976e+00  4.07432613e-02 
 1.65857983e-10  1.65857983e-10  2.35278328e+00  7.61921877e-01  1.90019887e-01  2.51156710e+00  3.92451126e-02 
 1.66857983e-10  1.66857983e-10  2.35862096e+00  7.27921431e-01  2.15859780e-01  2.51382474e+00  3.78092206e-02 
 1.67857983e-10  1.67857983e-10  2.36419852e+00  6.94824047e-01  2.43873570e-01  2.51622905e+00  3.64343666e-02 
 1.68857983e-10  1.68857983e-10  2.36953670e+00  6.62664726e-01  2.74028681e-01  2.51877238e+00  3.51185247e-02 
 1.69857983e-10  1.69857983e-10  2.37466442e+00  6.31621451e-01  3.06060600e-01  2.52142164e+00  3.38590023e-02 
 1.70857983e-10  1.70857983e-10  2.37958500e+00  6.01702842e-01  3.39901581e-01  2.52416957e+00  3.26528755e-02 
 1.71857983e-10  1.71857983e-10  2.38431519e+00  5.73052896e-01  3.75292591e-01  2.52698744e+00  3.14970933e-02 
 1.72857983e-10  1.72857983e-10  2.38886400e+00  5.45645145e-01  4.12153150e-01  2.52986875e+00  3.03894408e-02 
 1.73857983e-10  1.73857983e-10  2.39324012e+00  5.19450332e-01  4.50404168e-01  2.53280796e+00  2.93278571e-02 
 1.74857983e-10  1.74857983e-10  2.39745145e+00  4.94437463e-01  4.89979613e-01  2.53578580e+00  2.83093731e-02 
 1.75857983e-10  1.75857983e-10  2.40150501e+00  4.70574092e-01  5.30824271e-01  2.53875082e+00  2.73289050e-02 
 1.76857983e-10  1.76857983e-10  2.40540717e+00  4.47825734e-01  5.72872125e-01  2.54164003e+00  2.63808350e-02 
 1.77857983e-10  1.77857983e-10  2.40916385e+00  4.26156347e-01  6.16048589e-01  2.54439611e+00  2.54602436e-02 
 1.78857983e-10  1.78857983e-10  2.41278049e+00  4.05527957e-01  6.60282062e-01  2.54696022e+00  2.45623645e-02 
 1.79857983e-10  1.79857983e-10  2.41626188e+00  3.85897575e-01  7.05512130e-01  2.54927296e+00  2.36826175e-02 
 1.80857983e-10  1.80857983e-10  2.41961263e+00  3.67224367e-01  7.51684298e-01  2.55127360e+00  2.28166042e-02 
 1.81857983e-10  1.81857983e-10  2.42283749e+00  3.49473507e-01  7.98741126e-01  2.55289903e+00  2.19600486e-02 
 1.82857983e-10  1.82857983e-10  2.42595773e+00  3.32898143e-01  8.46263735e-01  2.55402860e+00  2.11070324e-02 
 1.83857983e-10  1.83857983e-10  2.42898711e+00  3.17618308e-01  8.93877403e-01  2.55456639e+00  2.02527238e-02 
 1.84857983e-10  1.84857983e-10  2.43191950e+00  3.03431113e-01  9.41525453e-01  2.55447147e+00  1.93939267e-02 
 1.85857983e-10  1.85857983e-10  2.43475270e+00  2.90227771e-01  9.89077696e-01  2.55367899e+00  1.85265666e-02 
 1.86857983e-10  1.86857983e-10  2.43748557e+00  2.77912811e-01  1.03640923e+00  2.55212600e+00  1.76470402e-02 
 1.87857983e-10  1.87857983e-10  2.44011780e+00  2.66401676e-01  1.08340173e+00  2.54975162e+00  1.67521711e-02 
 1.88857983e-10  1.88857983e-10  2.44264971e+00  2.55618968e-01  1.12994427e+00  2.54649723e+00  1.58391650e-02 
 1.89857983e-10  1.89857983e-10  2.44508218e+00  2.45497136e-01  1.17593397e+00  2.54230643e+00  1.49055645e-02 
 1.90857983e-10  1.90857983e-10  2.44741648e+00  2.35975469e-01  1.22127625e+00  2.53712503e+00  1.39492024e-02 
 1.91857983e-10  1.91857983e-10  2.44965427e+00  2.26999288e-01  1.26588507e+00  2.53090082e+00  1.29681522e-02 
 1.92857983e-10  1.92857983e-10  2.45179747e+00  2.18519299e-01  1.30968297e+00  2.52358331e+00  1.19606768e-02 
 1.93857983e-10  1.93857983e-10  2.45384823e+00  2.10491048e-01  1.35260098e+00  2.51512339e+00  1.09251732e-02 
 1.94857983e-10  1.94857983e-10  2.45580887e+00  2.02874457e-01  1.39457857e+00  2.50547281e+00  9.86011284e-03 
 1.95857983e-10  1.95857983e-10  2.45768184e+00  1.95633432e-01  1.43556347e+00  2.49458366e+00  8.76398688e-03 
 1.96857983e-10  1.96857983e-10  2.45946973e+00  1.88735529e-01  1.47551168e+00  2.48240888e+00  7.63531700e-03 
